Nr.;#;Company;Location_HQ;Country;Continent;Laid_Off;Date_layoffs;Percentage;Company_Size_before_Layoffs;Company_Size_after_layoffs;Industry;Stage;Money_Raised_in_$_mil;Year;lat;lng
97;361;Vesttoo;Tel Aviv;Israel;Asia;150.0;2023-08-01;75.0;200.0;50.0;Finance;Series C;$110;2023;32.08088;34.78057
98;362;Planet;San Francisco Bay Area;USA;North America;117.0;2023-08-01;10.0;1170.0;1053.0;Aerospace;Post-IPO;$574;2023;37.77493;-122.41942
99;363;Paper;Montreal;Canada;North America;106.0;2023-08-01;4.0;2650.0;2544.0;Education;Series D;$389;2023;45.50884;-73.58781
100;364;Archipelago;San Francisco Bay Area;USA;North America;40.0;2023-08-01;30.0;133.0;93.0;Real Estate;Series B;$57;2023;37.77493;-122.41942
101;370;Fable;Toronto;Canada;North America;13.0;2023-07-31;9.0;144.0;131.0;Other;Series A;$12;2023;43.70643;-79.39864
102;373;Kape Technologies;London;United Kingdom;Europe;200.0;2023-07-30;30.0;667.0;467.0;Security;Post-IPO;$188;2023;51.50853;-0.12574
103;374;Eroad;Auckland;New Zealand;Australia;200.0;2023-07-28;31.0;645.0;445.0;Transportation;Unknown;$46;2023;-36.84853;174.76349
104;377;Milkbasket;Gurugram;India;Asia;400.0;2023-07-27;67.0;597.0;197.0;Food;Acquired;$39;2023;28.4601;77.02635
105;378;Wish;San Francisco Bay Area;USA;North America;255.0;2023-07-27;34.0;750.0;495.0;Retail;Post-IPO;$1600;2023;37.77493;-122.41942
106;379;Point;San Francisco Bay Area;USA;North America;61.0;2023-07-27;28.0;218.0;157.0;Real Estate;Series C;$149;2023;37.77493;-122.41942
107;381;Verbit;New York City;USA;North America;60.0;2023-07-27;6.0;1000.0;940.0;Data;Series E;$569;2023;40.71427;-74.00597
108;384;Copia;Nairobi;Kenya;Africa;350.0;2023-07-26;25.0;1400.0;1050.0;Retail;Series C;$103;2023;-1.28333;36.81667
109;385;Figure;San Francisco Bay Area;USA;North America;90.0;2023-07-26;20.0;450.0;360.0;Crypto;Unknown;$1500;2023;37.77493;-122.41942
110;386;Calendly;Atlanta;USA;North America;60.0;2023-07-26;10.0;600.0;540.0;Other;Series B;$351;2023;33.749;-84.38798
111;389;Deep Instict;New York City;USA;North America;46.0;2023-07-25;15.0;307.0;261.0;Security;Unknown;$322;2023;40.71427;-74.00597
112;402;AgentSync;Denver;USA;North America;67.0;2023-07-19;24.0;279.0;212.0;Finance;Series B;$111;2023;39.73915;-104.9847
113;403;Inspirato;Denver;USA;North America;50.0;2023-07-19;6.0;833.0;783.0;Travel;Post-IPO;$179;2023;39.73915;-104.9847
114;404;Tilia;San Francisco Bay Area;USA;North America;28.0;2023-07-19;32.0;88.0;60.0;Finance;Unknown;$32;2023;37.77493;-122.41942
115;409;Sarcos;Salt Lake City;USA;North America;75.0;2023-07-17;25.0;300.0;225.0;Aerospace;Post-IPO;$316;2023;40.76078;-111.89105
116;415;PayScale;Seattle;USA;North America;14.0;2023-07-14;2.0;700.0;686.0;HR;Acquired;$33;2023;47.60621;-122.33207
117;419;AudioCodes;Tel Aviv;Israel;Asia;80.0;2023-07-13;6.0;1333.0;1253.0;Other;Post-IPO;$91;2023;32.08088;34.78057
118;422;Deepwatch;Tampa Bay;USA;North America;30.0;2023-07-13;7.0;429.0;399.0;Security;Series C;$256;2023;27.94752;-82.45843
119;432;DeepVerge;Dublin;Ireland;Europe;50.0;2023-07-12;100.0;50.0;0.0;Healthcare;Post-IPO;$20;2023;53.33306;-6.24889
120;433;Freightos;Miami;USA;North America;50.0;2023-07-12;13.0;385.0;335.0;Logistics;Post-IPO;$118;2023;25.77427;-80.19366
121;438;WayCool;Chennai;India;Asia;300.0;2023-07-11;12.0;2500.0;2200.0;Food;Unknown;$363;2023;13.08784;80.27847
122;439;Matterport;San Francisco Bay Area;USA;North America;170.0;2023-07-11;30.0;567.0;397.0;Data;Post-IPO;$409;2023;37.36883;-122.03635
123;441;Sisense;New York City;USA;North America;100.0;2023-07-11;15.0;667.0;567.0;Data;Series F;$274;2023;40.71427;-74.00597
124;447;FrontRow;Bengaluru;India;Asia;4.0;2023-07-10;100.0;4.0;0.0;Education;Series A;$17;2023;12.97194;77.59369
125;456;FNZ;London;United Kingdom;Europe;1000.0;2023-07-06;15.0;6667.0;5667.0;Finance;Private Equity …;;2023;51.50853;-0.12574
126;457;Perfect Day;San Francisco Bay Area;USA;North America;134.0;2023-07-06;15.0;893.0;759.0;Food;Series D;$711;2023;37.87159;-122.27275
127;459;TytoCare;New York City;USA;North America;20.0;2023-07-06;10.0;200.0;180.0;Healthcare;Series D;$156;2023;40.71427;-74.00597
128;466;Highsnobiety;Berlin;Germany;Europe;24.0;2023-07-03;10.0;240.0;216.0;Media;Acquired;$8;2023;52.52437;13.41053
129;467;Zip;Sydney;Australia;Australia;300.0;2023-07-02;20.0;1500.0;1200.0;Finance;Post-IPO;$896;2023;-33.86785;151.20732
130;473;Headspace;Los Angeles;USA;North America;181.0;2023-06-29;15.0;1207.0;1026.0;Healthcare;Unknown;$216;2023;34.05223;-118.24368
131;474;Artsy;New York City;USA;North America;35.0;2023-06-29;15.0;233.0;198.0;Retail;Series D;$100;2023;40.71427;-74.00597
132;477;Torii;Ra'anana;Israel;Asia;28.0;2023-06-29;30.0;93.0;65.0;Other;Series B;$65;2023;32.1836;34.87386
133;483;ClickUp;San Diego;USA;North America;90.0;2023-06-28;10.0;900.0;810.0;Other;Series C;$537;2023;32.71571;-117.16472
134;486;Plex;San Francisco Bay Area;USA;North America;37.0;2023-06-28;20.0;185.0;148.0;Media;Unknown;$81;2023;37.38605;-122.08385
135;490;New Relic;San Francisco Bay Area;USA;North America;255.0;2023-06-27;10.0;2550.0;2295.0;Infrastructure;Post-IPO;$214;2023;37.77493;-122.41942
136;498;Robinhood;San Francisco Bay Area;USA;North America;150.0;2023-06-26;7.0;2143.0;1993.0;Finance;Post-IPO;$5600;2023;37.45383;-122.18219
